,date,tempm
0,2016-07-26 00:00:00,19
1,2016-07-26 01:00:00,18
2,2016-07-26 02:00:00,18
3,2016-07-26 03:00:00,18
4,2016-07-26 04:00:00,18
5,2016-07-26 05:00:00,17
6,2016-07-26 06:00:00,17
7,2016-07-26 07:00:00,17
8,2016-07-26 08:00:00,18
9,2016-07-26 09:00:00,18
10,2016-07-26 10:00:00,18
11,2016-07-26 11:00:00,20
12,2016-07-26 12:00:00,20
13,2016-07-26 13:00:00,21
14,2016-07-26 14:00:00,22
15,2016-07-26 15:00:00,20
16,2016-07-26 16:00:00,21
17,2016-07-26 17:00:00,21
18,2016-07-26 18:00:00,21
19,2016-07-26 19:00:00,22
20,2016-07-26 20:00:00,21
21,2016-07-26 21:00:00,18
22,2016-07-26 22:00:00,16
23,2016-07-26 23:00:00,15
24,2018-01-22 00:00:00,-1
25,2018-01-22 01:00:00,0
26,2018-01-22 02:00:00,0
27,2018-01-22 05:00:00,0
28,2018-01-22 06:00:00,-1
29,2018-01-22 07:00:00,-1
30,2018-01-22 08:00:00,-1
31,2018-01-22 09:00:00,0
32,2018-01-22 12:00:00,0
33,2018-01-22 13:00:00,0
34,2018-01-22 14:00:00,1
35,2018-01-22 17:00:00,0
36,2018-01-22 18:00:00,0
37,2018-01-22 19:00:00,-1
38,2018-01-22 20:00:00,0
39,2018-01-22 21:00:00,0
40,2017-07-26 00:00:00,17
41,2017-07-26 01:00:00,17
42,2017-07-26 02:00:00,17
43,2017-07-26 03:00:00,17
44,2017-07-26 05:00:00,16
45,2017-07-26 06:00:00,16
46,2017-07-26 07:00:00,16
47,2017-07-26 08:00:00,17
48,2017-07-26 09:00:00,18
49,2017-07-26 10:00:00,17
50,2017-07-26 11:00:00,19
51,2017-07-26 12:00:00,19
52,2017-07-26 13:00:00,20
53,2017-07-26 14:00:00,20
54,2017-07-26 15:00:00,20
55,2017-07-26 16:00:00,20
56,2017-07-26 17:00:00,20
57,2017-07-26 18:00:00,19
58,2017-07-26 19:00:00,20
59,2017-07-26 20:00:00,20
60,2017-07-26 21:00:00,18
61,2017-07-26 22:00:00,16
62,2017-07-26 23:00:00,15
63,2018-08-21 00:00:00,15
64,2018-08-21 01:00:00,15
65,2018-08-21 03:00:00,14
66,2018-08-21 04:00:00,14
67,2018-08-21 05:00:00,13
68,2018-08-21 06:00:00,14
69,2018-08-21 07:00:00,14
70,2018-08-21 08:00:00,16
71,2018-08-21 09:00:00,16
72,2018-08-21 13:00:00,19
73,2018-08-21 14:00:00,19
74,2018-08-21 15:00:00,20
75,2018-08-21 19:00:00,20
76,2018-08-21 21:00:00,16
77,2018-08-21 23:00:00,13
78,2016-08-19 00:00:00,14
79,2016-08-19 01:00:00,13
80,2016-08-19 02:00:00,12
81,2016-08-19 03:00:00,12
82,2016-08-19 04:00:00,11
83,2016-08-19 05:00:00,12
84,2016-08-19 06:00:00,11
85,2016-08-19 07:00:00,12
86,2016-08-19 08:00:00,15
87,2016-08-19 09:00:00,17
88,2016-08-19 10:00:00,19
89,2016-08-19 11:00:00,18
90,2016-08-19 12:00:00,18
91,2016-08-19 13:00:00,20
92,2016-08-19 14:00:00,19
93,2016-08-19 15:00:00,19
94,2016-08-19 16:00:00,19
95,2016-08-19 17:00:00,20
96,2016-08-19 18:00:00,20
97,2016-08-19 19:00:00,19
98,2016-08-19 20:00:00,18
99,2016-08-19 21:00:00,16
100,2016-08-19 22:00:00,14
101,2016-08-19 23:00:00,12
102,2017-08-19 02:00:00,15
103,2017-08-19 03:00:00,15
104,2017-08-19 04:00:00,15
105,2017-08-19 06:00:00,15
106,2017-08-19 07:00:00,14
107,2017-08-19 08:00:00,16
108,2017-08-19 09:00:00,16
109,2017-08-19 10:00:00,16
110,2017-08-19 12:00:00,19
111,2017-08-19 13:00:00,20
112,2017-08-19 15:00:00,20
113,2017-08-19 16:00:00,19
114,2017-08-19 18:00:00,17
115,2017-08-19 19:00:00,18
116,2017-08-19 20:00:00,15
117,2017-08-19 21:00:00,14
118,2017-08-19 22:00:00,14
119,2017-08-19 23:00:00,13
120,2017-03-21 00:00:00,7
121,2017-03-21 01:00:00,7
122,2017-03-21 02:00:00,6
123,2017-03-21 03:00:00,6
124,2017-03-21 04:00:00,5
125,2017-03-21 05:00:00,5
126,2017-03-21 06:00:00,4
127,2017-03-21 07:00:00,4
128,2017-03-21 09:00:00,7
129,2017-03-21 10:00:00,7
130,2017-03-21 11:00:00,8
131,2017-03-21 12:00:00,8
132,2017-03-21 13:00:00,7
133,2017-03-21 14:00:00,5
134,2017-03-21 15:00:00,8
135,2017-03-21 16:00:00,5
136,2017-03-21 17:00:00,6
137,2017-03-21 18:00:00,5
138,2017-03-21 19:00:00,5
139,2017-03-21 20:00:00,5
140,2017-03-21 21:00:00,3
141,2017-03-21 23:00:00,3
142,2016-03-21 00:00:00,4
143,2016-03-21 01:00:00,5
144,2016-03-21 02:00:00,5
145,2016-03-21 03:00:00,4
146,2016-03-21 04:00:00,4
147,2016-03-21 05:00:00,4
148,2016-03-21 06:00:00,3
149,2016-03-21 07:00:00,4
150,2016-03-21 08:00:00,5
151,2016-03-21 09:00:00,5
152,2016-03-21 10:00:00,6
153,2016-03-21 11:00:00,7
154,2016-03-21 12:00:00,8
155,2016-03-21 13:00:00,8
156,2016-03-21 14:00:00,9
157,2016-03-21 15:00:00,8
158,2016-03-21 16:00:00,8
159,2016-03-21 17:00:00,7
160,2016-03-21 18:00:00,6
161,2016-03-21 19:00:00,6
162,2016-03-21 20:00:00,6
163,2016-03-21 21:00:00,5
164,2016-03-21 22:00:00,4
165,2016-03-21 23:00:00,5
166,2018-05-25 01:00:00,13
167,2018-05-25 02:00:00,12
168,2018-05-25 03:00:00,13
169,2018-05-25 05:00:00,14
170,2018-05-25 06:00:00,14
171,2018-05-25 07:00:00,15
172,2018-05-25 09:00:00,18
173,2018-05-25 11:00:00,20
174,2018-05-25 12:00:00,22
175,2018-05-25 13:00:00,23
176,2018-05-25 16:00:00,21
177,2018-05-25 17:00:00,22
178,2018-05-25 18:00:00,22
179,2018-05-25 19:00:00,22
180,2018-05-25 20:00:00,19
181,2018-05-25 21:00:00,17
182,2017-10-25 00:00:00,13
183,2017-10-25 01:00:00,13
184,2017-10-25 03:00:00,14
185,2017-10-25 05:00:00,14
186,2017-10-25 06:00:00,14
187,2017-10-25 07:00:00,14
188,2017-10-25 08:00:00,14
189,2017-10-25 10:00:00,14
190,2017-10-25 12:00:00,14
191,2017-10-25 13:00:00,14
192,2017-10-25 14:00:00,14
193,2017-10-25 16:00:00,12
194,2017-10-25 17:00:00,12
195,2017-10-25 18:00:00,11
196,2017-10-25 20:00:00,11
197,2017-10-25 21:00:00,11
198,2017-10-25 23:00:00,12
199,2016-10-25 00:00:00,4
200,2016-10-25 01:00:00,6
201,2016-10-25 02:00:00,6
202,2016-10-25 03:00:00,6
203,2016-10-25 04:00:00,6
204,2016-10-25 05:00:00,7
205,2016-10-25 06:00:00,7
206,2016-10-25 07:00:00,7
207,2016-10-25 08:00:00,7
208,2016-10-25 09:00:00,7
209,2016-10-25 10:00:00,7
210,2016-10-25 11:00:00,8
211,2016-10-25 12:00:00,8
212,2016-10-25 13:00:00,8
213,2016-10-25 14:00:00,9
214,2016-10-25 15:00:00,9
215,2016-10-25 16:00:00,9
216,2016-10-25 17:00:00,8
217,2016-10-25 18:00:00,6
218,2016-10-25 19:00:00,5
219,2016-10-25 20:00:00,4
220,2016-10-25 21:00:00,3
221,2016-10-25 22:00:00,2
222,2016-10-25 23:00:00,1
223,2018-03-19 00:00:00,-3
224,2018-03-19 01:00:00,-4
225,2018-03-19 02:00:00,-4
226,2018-03-19 03:00:00,-5
227,2018-03-19 04:00:00,-6
228,2018-03-19 05:00:00,-7
229,2018-03-19 07:00:00,-6
230,2018-03-19 08:00:00,-4
231,2018-03-19 09:00:00,-2
232,2018-03-19 10:00:00,0
233,2018-03-19 11:00:00,1
234,2018-03-19 13:00:00,2
235,2018-03-19 16:00:00,3
236,2018-03-19 17:00:00,3
237,2018-03-19 18:00:00,2
238,2018-03-19 19:00:00,1
239,2018-03-19 21:00:00,0
240,2018-03-19 22:00:00,0
241,2018-03-19 23:00:00,1
242,2017-06-22 00:00:00,12
243,2017-06-22 01:00:00,12
244,2017-06-22 02:00:00,12
245,2017-06-22 03:00:00,11
246,2017-06-22 04:00:00,9
247,2017-06-22 05:00:00,10
248,2017-06-22 06:00:00,11
249,2017-06-22 07:00:00,13
250,2017-06-22 08:00:00,14
251,2017-06-22 09:00:00,14
252,2017-06-22 11:00:00,15
253,2017-06-22 12:00:00,15
254,2017-06-22 14:00:00,19
255,2017-06-22 15:00:00,19
256,2017-06-22 16:00:00,20
257,2017-06-22 18:00:00,21
258,2017-06-22 19:00:00,20
259,2017-06-22 20:00:00,18
260,2017-06-22 21:00:00,18
261,2017-06-22 22:00:00,17
262,2017-06-22 23:00:00,16
263,2018-09-25 02:00:00,9
264,2018-09-25 08:00:00,8
265,2018-09-25 11:00:00,11
266,2018-09-25 14:00:00,13
267,2018-09-25 20:00:00,12
268,2018-09-25 23:00:00,10
269,2016-06-22 00:00:00,11
270,2016-06-22 01:00:00,11
271,2016-06-22 02:00:00,10
272,2016-06-22 03:00:00,11
273,2016-06-22 04:00:00,10
274,2016-06-22 05:00:00,10
275,2016-06-22 06:00:00,12
276,2016-06-22 07:00:00,16
277,2016-06-22 08:00:00,17
278,2016-06-22 09:00:00,18
279,2016-06-22 10:00:00,18
280,2016-06-22 11:00:00,18
281,2016-06-22 12:00:00,20
282,2016-06-22 13:00:00,22
283,2016-06-22 14:00:00,22
284,2016-06-22 15:00:00,22
285,2016-06-22 16:00:00,22
286,2016-06-22 17:00:00,21
287,2016-06-22 18:00:00,22
288,2016-06-22 19:00:00,20
289,2016-06-22 20:00:00,21
290,2016-06-22 21:00:00,19
291,2016-06-22 22:00:00,18
292,2016-06-22 23:00:00,15
293,2017-07-30 00:00:00,12
294,2017-07-30 01:00:00,11
295,2017-07-30 02:00:00,11
296,2017-07-30 03:00:00,12
297,2017-07-30 04:00:00,13
298,2017-07-30 05:00:00,14
299,2017-07-30 06:00:00,14
300,2017-07-30 08:00:00,16
301,2017-07-30 09:00:00,17
302,2017-07-30 10:00:00,19
303,2017-07-30 11:00:00,20
304,2017-07-30 12:00:00,21
305,2017-07-30 13:00:00,20
306,2017-07-30 14:00:00,19
307,2017-07-30 15:00:00,22
308,2017-07-30 16:00:00,24
309,2017-07-30 18:00:00,24
310,2017-07-30 19:00:00,22
311,2017-07-30 20:00:00,17
312,2017-07-30 21:00:00,18
313,2017-07-30 22:00:00,18
314,2017-07-30 23:00:00,16
315,2016-11-21 00:00:00,9
316,2016-11-21 01:00:00,9
317,2016-11-21 02:00:00,9
318,2016-11-21 03:00:00,9
319,2016-11-21 04:00:00,8
320,2016-11-21 05:00:00,8
321,2016-11-21 06:00:00,7
322,2016-11-21 07:00:00,7
323,2016-11-21 08:00:00,8
324,2016-11-21 09:00:00,8
325,2016-11-21 11:00:00,8
326,2016-11-21 12:00:00,8
327,2016-11-21 13:00:00,9
328,2016-11-21 14:00:00,10
329,2016-11-21 15:00:00,10
330,2016-11-21 16:00:00,9
331,2016-11-21 17:00:00,9
332,2016-11-21 18:00:00,8
333,2016-11-21 19:00:00,8
334,2016-11-21 20:00:00,8
335,2016-11-21 21:00:00,8
336,2016-11-21 22:00:00,9
337,2016-11-21 23:00:00,8
338,2017-11-21 00:00:00,2
339,2017-11-21 01:00:00,1
340,2017-11-21 03:00:00,0
341,2017-11-21 04:00:00,0
342,2017-11-21 05:00:00,0
343,2017-11-21 06:00:00,0
344,2017-11-21 07:00:00,0
345,2017-11-21 08:00:00,1
346,2017-11-21 10:00:00,2
347,2017-11-21 11:00:00,2
348,2017-11-21 12:00:00,3
349,2017-11-21 14:00:00,4
350,2017-11-21 15:00:00,4
351,2017-11-21 16:00:00,3
352,2017-11-21 17:00:00,4
353,2017-11-21 18:00:00,4
354,2017-11-21 19:00:00,4
355,2017-11-21 20:00:00,4
356,2017-11-21 22:00:00,4
357,2017-11-21 23:00:00,4
358,2016-07-30 00:00:00,16
359,2016-07-30 01:00:00,15
360,2016-07-30 02:00:00,14
361,2016-07-30 03:00:00,14
362,2016-07-30 04:00:00,14
363,2016-07-30 05:00:00,15
364,2016-07-30 06:00:00,15
365,2016-07-30 07:00:00,16
366,2016-07-30 08:00:00,18
367,2016-07-30 09:00:00,19
368,2016-07-30 10:00:00,20
369,2016-07-30 11:00:00,21
370,2016-07-30 12:00:00,21
371,2016-07-30 13:00:00,20
372,2016-07-30 14:00:00,18
373,2016-07-30 15:00:00,19
374,2016-07-30 16:00:00,20
375,2016-07-30 17:00:00,20
376,2016-07-30 18:00:00,19
377,2016-07-30 19:00:00,19
378,2016-07-30 20:00:00,19
379,2016-07-30 21:00:00,18
380,2016-07-30 22:00:00,16
381,2016-07-30 23:00:00,16
382,2016-02-25 00:00:00,0
383,2016-02-25 01:00:00,0
384,2016-02-25 02:00:00,0
385,2016-02-25 03:00:00,0
386,2016-02-25 04:00:00,0
387,2016-02-25 05:00:00,0
388,2016-02-25 06:00:00,0
389,2016-02-25 07:00:00,0
390,2016-02-25 08:00:00,0
391,2016-02-25 09:00:00,1
392,2016-02-25 10:00:00,2
393,2016-02-25 11:00:00,3
394,2016-02-25 12:00:00,4
395,2016-02-25 13:00:00,4
396,2016-02-25 14:00:00,4
397,2016-02-25 15:00:00,4
398,2016-02-25 16:00:00,4
399,2016-02-25 17:00:00,4
400,2016-02-25 18:00:00,3
401,2016-02-25 19:00:00,3
402,2016-02-25 20:00:00,2
403,2016-02-25 21:00:00,2
404,2016-02-25 22:00:00,0
405,2016-02-25 23:00:00,0
406,2018-04-21 01:00:00,12
407,2018-04-21 03:00:00,10
408,2018-04-21 04:00:00,9
409,2018-04-21 07:00:00,9
410,2018-04-21 08:00:00,10
411,2018-04-21 09:00:00,10
412,2018-04-21 10:00:00,11
413,2018-04-21 11:00:00,13
414,2018-04-21 12:00:00,13
415,2018-04-21 13:00:00,14
416,2018-04-21 14:00:00,15
417,2018-04-21 15:00:00,16
418,2018-04-21 16:00:00,15
419,2018-04-21 17:00:00,16
420,2018-04-21 18:00:00,15
421,2018-04-21 19:00:00,15
422,2018-04-21 20:00:00,13
423,2018-04-21 21:00:00,11
424,2018-04-21 22:00:00,10
425,2018-04-21 23:00:00,9
426,2017-02-25 00:00:00,1
427,2017-02-25 01:00:00,1
428,2017-02-25 02:00:00,1
429,2017-02-25 03:00:00,0
430,2017-02-25 05:00:00,-2
431,2017-02-25 06:00:00,-2
432,2017-02-25 07:00:00,-2
433,2017-02-25 08:00:00,-2
434,2017-02-25 09:00:00,0
435,2017-02-25 11:00:00,2
436,2017-02-25 12:00:00,3
437,2017-02-25 13:00:00,3
438,2017-02-25 14:00:00,4
439,2017-02-25 16:00:00,2
440,2017-02-25 17:00:00,2
441,2017-02-25 18:00:00,2
442,2017-02-25 19:00:00,2
443,2017-02-25 20:00:00,3
444,2017-02-25 21:00:00,3
445,2017-02-25 22:00:00,4
446,2017-02-25 23:00:00,4
447,2018-07-08 00:00:00,18
448,2018-07-08 02:00:00,17
449,2018-07-08 03:00:00,16
450,2018-07-08 04:00:00,17
451,2018-07-08 05:00:00,17
452,2018-07-08 06:00:00,17
453,2018-07-08 07:00:00,18
454,2018-07-08 08:00:00,18
455,2018-07-08 09:00:00,19
456,2018-07-08 10:00:00,19
457,2018-07-08 11:00:00,19
458,2018-07-08 12:00:00,20
459,2018-07-08 13:00:00,21
460,2018-07-08 14:00:00,23
461,2018-07-08 15:00:00,22
462,2018-07-08 16:00:00,23
463,2018-07-08 17:00:00,23
464,2018-07-08 20:00:00,23
465,2018-07-08 23:00:00,17
466,2017-04-19 00:00:00,0
467,2017-04-19 01:00:00,-1
468,2017-04-19 02:00:00,0
469,2017-04-19 03:00:00,-1
470,2017-04-19 04:00:00,-1
471,2017-04-19 05:00:00,-2
472,2017-04-19 06:00:00,-2
473,2017-04-19 07:00:00,-2
474,2017-04-19 08:00:00,0
475,2017-04-19 09:00:00,3
476,2017-04-19 10:00:00,5
477,2017-04-19 12:00:00,6
478,2017-04-19 13:00:00,6
479,2017-04-19 14:00:00,6
480,2017-04-19 15:00:00,6
481,2017-04-19 16:00:00,7
482,2017-04-19 18:00:00,6
483,2017-04-19 20:00:00,4
484,2017-04-19 21:00:00,4
485,2017-04-19 22:00:00,3
486,2017-04-19 23:00:00,3
487,2016-12-08 00:00:00,9
488,2016-12-08 01:00:00,10
489,2016-12-08 02:00:00,10
490,2016-12-08 03:00:00,10
491,2016-12-08 04:00:00,10
492,2016-12-08 05:00:00,10
493,2016-12-08 06:00:00,10
494,2016-12-08 07:00:00,10
495,2016-12-08 08:00:00,10
496,2016-12-08 09:00:00,10
497,2016-12-08 10:00:00,10
498,2016-12-08 11:00:00,11
499,2016-12-08 12:00:00,11
500,2016-12-08 13:00:00,11
501,2016-12-08 14:00:00,10
502,2016-12-08 15:00:00,10
503,2016-12-08 16:00:00,9
504,2016-12-08 17:00:00,9
505,2016-12-08 18:00:00,9
506,2016-12-08 19:00:00,9
507,2016-12-08 20:00:00,9
508,2016-12-08 21:00:00,9
509,2016-12-08 22:00:00,9
510,2016-12-08 23:00:00,9
511,2017-12-08 00:00:00,6
512,2017-12-08 01:00:00,6
513,2017-12-08 02:00:00,6
514,2017-12-08 03:00:00,5
515,2017-12-08 05:00:00,4
516,2017-12-08 06:00:00,4
517,2017-12-08 07:00:00,3
518,2017-12-08 08:00:00,3
519,2017-12-08 09:00:00,4
520,2017-12-08 11:00:00,4
521,2017-12-08 12:00:00,4
522,2017-12-08 13:00:00,4
523,2017-12-08 14:00:00,5
524,2017-12-08 15:00:00,4
525,2017-12-08 16:00:00,4
526,2017-12-08 17:00:00,4
527,2017-12-08 18:00:00,4
528,2017-12-08 19:00:00,3
529,2017-12-08 20:00:00,3
530,2017-12-08 21:00:00,2
531,2016-04-19 00:00:00,6
532,2016-04-19 01:00:00,6
533,2016-04-19 02:00:00,6
534,2016-04-19 03:00:00,7
535,2016-04-19 04:00:00,7
536,2016-04-19 05:00:00,6
537,2016-04-19 06:00:00,6
538,2016-04-19 07:00:00,6
539,2016-04-19 08:00:00,7
540,2016-04-19 09:00:00,7
541,2016-04-19 10:00:00,8
542,2016-04-19 12:00:00,10
543,2016-04-19 13:00:00,10
544,2016-04-19 14:00:00,10
545,2016-04-19 15:00:00,10
546,2016-04-19 17:00:00,11
547,2016-04-19 18:00:00,9
548,2016-04-19 19:00:00,9
549,2016-04-19 20:00:00,8
550,2016-04-19 21:00:00,8
551,2016-04-19 22:00:00,7
552,2016-04-19 23:00:00,7
553,2018-09-09 02:00:00,14
554,2018-09-09 03:00:00,13
555,2018-09-09 04:00:00,13
556,2018-09-09 05:00:00,14
557,2018-09-09 06:00:00,14
558,2018-09-09 07:00:00,13
559,2018-09-09 09:00:00,16
560,2018-09-09 10:00:00,17
561,2018-09-09 11:00:00,17
562,2018-09-09 12:00:00,18
563,2018-09-09 15:00:00,18
564,2018-09-09 16:00:00,18
565,2018-09-09 17:00:00,19
566,2018-09-09 18:00:00,18
567,2018-09-09 19:00:00,17
568,2018-09-09 20:00:00,16
569,2018-09-09 22:00:00,16
570,2018-09-09 23:00:00,15
571,2016-05-27 00:00:00,8
572,2016-05-27 01:00:00,8
573,2016-05-27 02:00:00,7
574,2016-05-27 03:00:00,7
