planid,komnr,doklink
1037564,219,https://dokument.plandata.dk/20_1037564_1516673364519.pdf
1205769,230,https://dokument.plandata.dk/20_1205769_APPROVED_1246956184440.pdf
3802330,173,https://dokument.plandata.dk/20_3802330_1515005820968.pdf
1060882,253,https://dokument.plandata.dk/20_1060882_APPROVED_1197019233722.pdf
3809376,219,https://dokument.plandata.dk/20_3809376_1520274441862.pdf
3699110,265,https://dokument.plandata.dk/20_3699110_1515005460199.pdf
3753627,217,https://dokument.plandata.dk/20_3753627_1515005611308.pdf
4031753,219,https://dokument.plandata.dk/20_4031753_1516673363751.pdf
1037795,219,https://dokument.plandata.dk/20_1037795_APPROVED_1179134979718.pdf
3775383,350,https://dokument.plandata.dk/20_3775383_1515004806725.pdf
9418969,230,https://dokument.plandata.dk/20_9418969_1539174991434.pdf
1060881,253,https://dokument.plandata.dk/20_1060881_APPROVED_1197019232113.pdf
1060884,253,https://dokument.plandata.dk/20_1060884_APPROVED_1197019237238.pdf
1060885,253,https://dokument.plandata.dk/20_1060885_APPROVED_1197019239034.pdf
3964663,230,https://dokument.plandata.dk/20_3964663_1539177357749.pdf
1060886,253,https://dokument.plandata.dk/20_1060886_APPROVED_1197019241597.pdf
1060887,253,https://dokument.plandata.dk/20_1060887_APPROVED_1197019243316.pdf
1060888,253,https://dokument.plandata.dk/20_1060888_APPROVED_1197019244456.pdf
1060889,253,https://dokument.plandata.dk/20_1060889_APPROVED_1327593405436.pdf
3307206,265,https://dokument.plandata.dk/20_3307206_1515005301004.pdf
3964606,151,https://dokument.plandata.dk/20_3964606_1514997819845.pdf
3964684,350,https://dokument.plandata.dk/20_3964684_1530268588806.pdf
3756418,259,https://dokument.plandata.dk/20_3756418_1521483484582.pdf
4050500,259,https://dokument.plandata.dk/20_4050500_1528441412801.pdf
3287153,217,https://dokument.plandata.dk/20_3287153_1515003837231.pdf
3801987,240,https://dokument.plandata.dk/20_3801987_1515005338957.pdf
3801986,240,https://dokument.plandata.dk/20_3801986_1515005333376.pdf
1085053,210,https://dokument.plandata.dk/20_1085053_APPROVED_1214566570346.pdf
1037543,219,https://dokument.plandata.dk/20_1037543_APPROVED_1178799575628.pdf
1060890,253,https://dokument.plandata.dk/20_1060890_APPROVED_1327913075045.pdf
3754592,223,https://dokument.plandata.dk/20_3754592_1515005371599.pdf
1052163,210,https://dokument.plandata.dk/20_1052163_APPROVED_1188386298322.pdf
1037515,219,https://dokument.plandata.dk/20_1037515_APPROVED_1178791148005.pdf
3097146,219,https://dokument.plandata.dk/20_3097146_1462261285714.pdf
